species,TL_(mm),WT_(mg),log_Ws,Ws,Wr
BG,57,2586,0.46702392,2931.054674,88.22762751
BG,56,2600,0.442636226,2770.998086,93.82900744
BG,59,3353,0.514541343,3269.951741,102.5397396
BG,57,3000,0.46702392,2931.054674,102.3522361
BG,64,3934,0.626624956,4232.772786,92.9414405
BG,65,4577,0.64798769,4446.186647,102.9421471
BG,62,3553,0.582879418,3827.184663,92.83586534
BG,64,4160,0.626624956,4232.772786,98.28073017
BG,79,7500,0.916755567,8255.731641,90.84597617
BG,71,5178,0.769643313,5883.602349,88.00730731
BG,106,18704,1.321836906,20981.51803,89.14512275
BG,70,5600,0.750098748,5624.69202,99.56100672
BG,64,3900,0.626624956,4232.772786,92.13818453
BG,52,2400,0.340525168,2190.408763,109.5685902
BG,68,3800,0.710157727,5130.476787,74.0671902
BG,86,10600,1.033735856,10807.76409,98.07764043
BG,54,2400,0.392526386,2469.030109,97.20416091
BG,62,3900,0.582879418,3827.184663,101.9025823
BG,58,2800,0.490987458,3097.32985,90.40044603
BG,55,2900,0.41780909,2617.032346,110.8125394
BG,57,3100,0.46702392,2931.054674,105.7639773
BG,62,4000,0.582879418,3827.184663,104.515469
BG,62,3800,0.582879418,3827.184663,99.28969555
BG,58,3400,0.490987458,3097.32985,109.7719702
BG,66,4900,0.669024263,4666.854517,104.9957735
BG,62,4100,0.582879418,3827.184663,107.1283557
BG,57,3190,0.46702392,2931.054674,108.8345444
BG,65,3622,0.64798769,4446.186647,81.46306683
BG,66,4000,0.669024263,4666.854517,85.71083554
BG,67,4300,0.689744484,4894.907435,87.84640071
BG,69,4700,0.730272956,5373.694296,87.46310715
BG,67,4600,0.689744484,4894.907435,93.97521936
BG,59,3370,0.514541343,3269.951741,103.0596249
BG,67,3430,0.689744484,4894.907435,70.07282661
BG,75,7500,0.845161868,7001.02886,107.1271116
BG,76,7600,0.863412052,7301.499363,104.0882101
BG,56,2800,0.442636226,2770.998086,101.0466234
BG,95,14700,1.170874574,14820.89988,99.18426085
BG,70,6300,0.750098748,5624.69202,112.0061326
BG,67,5100,0.689744484,4894.907435,104.1899171
BG,67,4900,0.689744484,4894.907435,100.104038
BG,62,3900,0.582879418,3827.184663,101.9025823
BG,70,5000,0.750098748,5624.69202,88.893756
BG,101,18700,1.25526025,17999.49207,103.8918206
BG,60,3900,0.537699346,3449.048855,113.0746523
BG,87,13500,1.049665152,11211.53694,120.4116802
BG,60,4000,0.537699346,3449.048855,115.9740024
BG,63,3700,0.604925788,4026.482238,91.89162602
BG,54,2200,0.392526386,2469.030109,89.10381417
BG,57,3200,0.46702392,2931.054674,109.1757185
BG,69,4600,0.730272956,5373.694296,85.60218998
BG,61,3700,0.560474554,3634.750076,101.7951695
BG,67,4500,0.689744484,4894.907435,91.93227981
BG,66,4600,0.669024263,4666.854517,98.56746087
BG,73,7800,0.807919905,6425.692008,121.3877041
BG,49,1900,0.258647495,1814.042657,104.7384411
BG,121,3070,1.504199833,31930.06723,9.614762092
BG,121,30700,1.504199833,31930.06723,96.14762092
BG,66,4486,0.669024263,4666.854517,96.12470206
BG,61,3858,0.560474554,3634.750076,106.1420983
BG,55,2754,0.41780909,2617.032346,105.2337012
BG,67,4864,0.689744484,4894.907435,99.36857978
BG,57,2977,0.46702392,2931.054674,101.5675356
BG,67,5051,0.689744484,4894.907435,103.1888767
BG,66,5083,0.669024263,4666.854517,108.9170443
BG,76,6608,0.863412052,7301.499363,90.50195954
BG,70,5300,0.750098748,5624.69202,94.22738136
BG,55,2700,0.41780909,2617.032346,103.1702953
BG,61,3900,0.560474554,3634.750076,107.2976111
BG,52,2500,0.340525168,2190.408763,114.1339481
BG,64,4500,0.626624956,4232.772786,106.3132898
BG,59,3200,0.514541343,3269.951741,97.86077146
BG,67,5000,0.689744484,4894.907435,102.1469776
BG,59,3300,0.514541343,3269.951741,100.9189206
BG,62,4100,0.582879418,3827.184663,107.1283557
BG,56,2900,0.442636226,2770.998086,104.6554314
BG,63,4100,0.604925788,4026.482238,101.8258559
BG,64,3900,0.626624956,4232.772786,92.13818453
BG,60,3600,0.537699346,3449.048855,104.3766021
BG,58,3600,0.490987458,3097.32985,116.2291449
BG,71,5701,0.769643313,5883.602349,96.89641927
BG,56,4027,0.442636226,2770.998086,145.3266973
BG,73,7300,0.807919905,6425.692008,113.606441
BG,65,3900,0.64798769,4446.186647,87.71561586
BG,59,2800,0.514541343,3269.951741,85.62817502
BG,66,4300,0.669024263,4666.854517,92.13914821
BG,64,3700,0.626624956,4232.772786,87.41314943
BG,103,15800,1.282278149,19154.82327,82.48575191
BG,63,3620,0.604925788,4026.482238,89.90478005
BG,58,3000,0.490987458,3097.32985,96.85762075
BG,61,3300,0.560474554,3634.750076,90.79028628
BG,64,3600,0.626624956,4232.772786,85.05063188
BG,65,4700,0.64798769,4446.186647,105.7085627
BG,74,6200,0.826666708,6709.137737,92.41127911
BG,58,2900,0.490987458,3097.32985,93.62903339
BG,58,3100,0.490987458,3097.32985,100.0862081
BG,63,4200,0.604925788,4026.482238,104.3094133
BG,50,1900,0.286484174,1934.123376,98.23571874
BG,59,3200,0.514541343,3269.951741,97.86077146
BG,80,7200,0.934087478,8591.865665,83.80019289
BG,65,1160,0.64798769,4446.186647,26.08977292
BG,65,1500,0.64798769,4446.186647,33.73677533
BG,55,1400,0.41780909,2617.032346,53.49570869
H,59,3730,0.514541343,3269.951741,114.0689617
H,65,4500,0.64798769,4446.186647,101.210326
H,62,4200,0.582879418,3827.184663,109.7412424
H,88,11900,1.065412395,11625.52019,102.361011
H,68,7100,0.710157727,5130.476787,138.3886975
H,62,4200,0.582879418,3827.184663,109.7412424
H,63,4177,0.604925788,4026.482238,103.7381951
H,57,3678,0.46702392,2931.054674,125.4838414
H,62,3585,0.582879418,3827.184663,93.67198909
H,53,,0.36677108,2326.864428,0
H,51,2000,0.313769595,2059.536983,97.10920546
H,55,3900,0.41780909,2617.032346,149.0237599
H,64,,0.626624956,4232.772786,0
H,59,4000,0.514541343,3269.951741,122.3259643
H,47,2500,0.20122799,1589.380901,157.29395
H,57,3800,0.46702392,2931.054674,129.6461657
H,63,4500,0.604925788,4026.482238,111.7600857
H,58,3300,0.490987458,3097.32985,106.5433828
H,76,8200,0.863412052,7301.499363,112.3057004
H,59,4000,0.514541343,3269.951741,122.3259643
H,58,3600,0.490987458,3097.32985,116.2291449
H,66,5300,0.669024263,4666.854517,113.5668571
H,78,8600,0.899202862,7928.716002,108.4664906
H,62,4300,0.582879418,3827.184663,112.3541292
H,77,8700,0.881423664,7610.683544,114.3129911
H,56,2900,0.442636226,2770.998086,104.6554314
H,57,3100,0.46702392,2931.054674,105.7639773
H,55,2900,0.41780909,2617.032346,110.8125394
H,61,3800,0.560474554,3634.750076,104.5463903
H,76,8000,0.863412052,7301.499363,109.566537
H,83,10600,0.984812301,9656.334479,109.7725024
H,75,8600,0.845161868,7001.02886,122.839088
H,51,2800,0.313769595,2059.536983,135.9528876
H,57,3200,0.46702392,2931.054674,109.1757185
H,53,2400,0.36677108,2326.864428,103.1430955
H,57,3000,0.46702392,2931.054674,102.3522361
H,71,5800,0.769643313,5883.602349,98.57906188
H,63,4200,0.604925788,4026.482238,104.3094133
PS,79,,0.981141539,9575.060777,0
PS,80,9194,0.998680712,9969.66837,92.21971743
PS,87,11652,1.115640512,13050.90152,89.28118862
PS,95,13200,1.238299407,17310.09324,76.25608839
PS,75,7900,0.908691692,8103.85557,97.48446196
PS,88,11900,1.131576067,13538.67201,87.89636079
PS,65,4200,0.709159623,5118.699363,82.05209375
PS,78,8800,0.963378931,9191.342113,95.74227454
PS,77,7800,0.945387122,8818.345742,88.45196399
PS,72,7000,0.851771713,7108.397624,98.47507653
PS,56,2900,0.50135248,3172.140973,91.42090547
PS,60,3800,0.597552404,3958.698299,95.99114944
PS,81,8400,1.016002002,10375.33198,80.96126484
PS,65,4500,0.709159623,5118.699363,87.91295759
PS,80,9900,0.998680712,9969.66837,99.30119671
PS,55,3400,0.476228451,2993.839064,113.5665587
PS,68,5600,0.772073115,5916.612342,94.64875635
PS,63,4800,0.665582768,4630.018945,103.6712821
PS,60,3600,0.597552404,3958.698299,90.93898368
PS,69,4900,0.792428891,6200.531108,79.02548853
PS,56,3500,0.50135248,3172.140973,110.3355756
PS,79,9560,0.981141539,9575.060777,99.84270829
PS,71,6620,0.832270054,6796.261086,97.4064992
PS,69,4629,0.792428891,6200.531108,74.65489519
PS,79,7866,0.981141539,9575.060777,82.15091458
PS,64,3678,0.687541424,4870.13976,75.52144664
PS,81,8168,1.016002002,10375.33198,78.72519181
PS,57,3942,0.526031812,3357.622076,117.4045176
PS,57,3200,0.526031812,3357.622076,95.30554445
PS,60,3200,0.597552404,3958.698299,80.83465216
PS,84,9100,1.066711076,11660.33629,78.04234608
PS,88,10700,1.131576067,13538.67201,79.03286223
PS,59,3200,0.574117469,3750.744392,85.31639765
PS,77,7100,0.945387122,8818.345742,80.51396722
PS,51,2500,0.370944807,2349.334235,106.413126
PS,56,2900,0.50135248,3172.140973,91.42090547
PS,62,3600,0.643272758,4398.177559,81.85208423
PS,65,4200,0.709159623,5118.699363,82.05209375
PS,65,4200,0.709159623,5118.699363,82.05209375
PS,55,2900,0.476228451,2993.839064,96.86559423
PS,70,5800,0.812491767,6493.693216,89.31743165
PS,55,2900,0.476228451,2993.839064,96.86559423
PS,60,3400,0.597552404,3958.698299,85.88681792
PS,59,4600,0.574117469,3750.744392,122.6423216
PS,67,5000,0.751415762,5641.774994,88.62459076
PS,57,3200,0.526031812,3357.622076,95.30554445
PS,74,6500,0.889975359,7762.030758,83.74097195
PS,69,5200,0.792428891,6200.531108,83.86378375
PS,68,4400,0.772073115,5916.612342,74.36687999
PS,62,4100,0.643272758,4398.177559,93.22042926
PS,58,3400,0.550281916,3550.437861,95.76283639
PS,56,3000,0.50135248,3172.140973,94.57335048
PS,83,9900,1.050012123,11220.49776,88.23137985
PS,54,2800,0.450643405,2822.561447,99.20067472
PS,55,2500,0.476228451,2993.839064,83.50482261
PS,65,4100,0.709159623,5118.699363,80.09847247
PS,64,4100,0.687541424,4870.13976,84.18649571
PS,70,5900,0.812491767,6493.693216,90.85738736
PS,66,4600,0.730447759,5375.857639,85.56774209
PS,63,3900,0.665582768,4630.018945,84.23291667
PS,62,3900,0.643272758,4398.177559,88.67309124
PS,64,4600,0.687541424,4870.13976,94.45314153
PS,55,2800,0.476228451,2993.839064,93.52540132
PS,56,3300,0.50135248,3172.140973,104.0306855
PS,63,4700,0.665582768,4630.018945,101.5114637
PS,84,9900,1.066711076,11660.33629,84.90321166
PS,55,2800,0.476228451,2993.839064,93.52540132
PS,61,4300,0.620599968,4174.456773,103.0074147
PS,65,11600,0.709159623,5118.699363,226.6200685
PS,62,3600,0.643272758,4398.177559,81.85208423
PS,52,,0.398020335,2500.462439,0
PS,51,,0.370944807,2349.334235,0
PS,57,,0.526031812,3357.622076,0
PS,65,4900,0.709159623,5118.699363,95.72744271
PS,75,6500,0.908691692,8103.85557,80.20873452
PS,70,,0.812491767,6493.693216,0
PS,65,4960,0.709159623,5118.699363,96.89961548
PS,64,4520,0.687541424,4870.13976,92.8104782
PS,80,9350,0.998680712,9969.66837,93.78446356
PS,71,6890,0.832270054,6796.261086,101.3792718
PS,84,10200,1.066711076,11660.33629,87.47603626
PS,79,9100,0.981141539,9575.060777,95.03856124
PS,90,11940,1.162911001,14551.60847,82.05278495
PS,71,6600,0.832270054,6796.261086,97.11221975
PS,67,6500,0.751415762,5641.774994,115.211968
PS,60,4600,0.597552404,3958.698299,116.1998125
PS,7.6,9.1,-2.283439881,5.206670797,174.7757896
PS,76,8400,0.927160119,8455.905472,99.33885883
PS,78,8200,0.963378931,9191.342113,89.21439218
PS,59,3600,0.574117469,3750.744392,95.98094735
PS,77,9200,0.945387122,8818.345742,104.3279575
PS,87,13000,1.115640512,13050.90152,99.60997701
PS,59,3600,0.574117469,3750.744392,95.98094735
PS,53,2600,0.424580107,2658.153809,97.81224816
PS,53,2518,0.424580107,2658.153809,94.72740033
PS,74,7444,0.889975359,7762.030758,95.90273772
PS,58,4199,0.550281916,3550.437861,118.2671029
PS,52,2353,0.398020335,2500.462439,94.10259333
PS,57,3823,0.526031812,3357.622076,113.8603426
PS,54,2882,0.450643405,2822.561447,102.1058373
PS,59,3563,0.574117469,3750.744392,94.9944765
PS,58,3457,0.550281916,3550.437861,97.36827218
PS,67,5132,0.751415762,5641.774994,90.96427996
PS,63,4539,0.665582768,4630.018945,98.0341561
PS,69,6010,0.792428891,6200.531108,96.92718083
PS,59,3800,0.574117469,3750.744392,101.3132222
PS,77,7100,0.945387122,8818.345742,80.51396722
PS,78,9700,0.963378931,9191.342113,105.5340981
PS,60,4200,0.597552404,3958.698299,106.095481
PS,62,3782,0.643272758,4398.177559,85.99016182
PS,55,3925,0.476228451,2993.839064,131.1025715
PS,80,9700,0.998680712,9969.66837,97.29511193
PS,68,5590,0.772073115,5916.612342,94.47974071
PS,75,7111,0.908691692,8103.85557,87.74835557
PS,63,4200,0.665582768,4630.018945,90.7123718
PS,66,4500,0.730447759,5375.857639,83.70757378
PS,58,3400,0.550281916,3550.437861,95.76283639
PS,58,3500,0.550281916,3550.437861,98.5793904
PS,69,5500,0.792428891,6200.531108,88.70207896
PS,70,5900,0.812491767,6493.693216,90.85738736
PS,64,4400,0.687541424,4870.13976,90.3464832
PS,82,9100,1.033110754,10792.21912,84.32000776
PS,74,6500,0.889975359,7762.030758,83.74097195
PS,66,5600,0.730447759,5375.857639,104.1694252
PS,86,10600,1.099520728,12575.36871,84.29176306
PS,60,4100,0.597552404,3958.698299,103.5693981
PS,87,1130,1.115640512,13050.90152,8.658405694
PS,85,11300,1.083212403,12111.90353,93.29664801
PS,56,970,0.50135248,3172.140973,30.57871666
PS,63,1400,0.665582768,4630.018945,30.23745727
PS,85,1790,1.083212403,12111.90353,14.77884955
PS,65,1020,0.709159623,5118.699363,19.92693705
